Process Name,Count
System Idle Process,1
System,1
Registry,1
SearchProtocolHost.exe,1
dllhost.exe,3
RuntimeBroker.exe,6
Code.exe,15
smss.exe,1
svchost.exe,91
taskhostw.exe,3
csrss.exe,2
ctfmon.exe,1
wininit.exe,1
winlogon.exe,1
services.exe,1
lsass.exe,1
fontdrvhost.exe,2
SearchIndexer.exe,1
dwm.exe,1
SgrmBroker.exe,1
chrome.exe,8
slack.exe,5
sihost.exe,1
atiesrxx.exe,1
amdfendrsr.exe,1
atieclxx.exe,1
MemCompression,1
Teams.exe,8
wlanext.exe,1
conhost.exe,12
spoolsv.exe,1
armsvc.exe,1
ACCSvc.exe,1
mongod.exe,1
mysqld.exe,2
SMSvcHost.exe,2
RtkAudUService64.exe,2
MsSense.exe,1
ZSAService.exe,1
uhssvc.exe,1
msedge.exe,8
WmiPrvSE.exe,6
CmRcService.exe,1
AggregatorHost.exe,1
agentmonitor.exe,1
aeagent.exe,1
keyacc32.exe,1
SenseCE.exe,1
SenseTVM.exe,1
TrustedInstaller.exe,1
python.exe,3
powershell.exe,6
kass.exe,1
ZSATrayManager.exe,1
DefendpointService.exe,1
explorer.exe,1
ShellExperienceHost.exe,1
CcmExec.exe,1
StartMenuExperienceHost.exe,1
SenseNdr.exe,1
ZSATray.exe,1
GoogleCrashHandler.exe,1
ZSATunnel.exe,1
GoogleCrashHandler64.exe,1
ZSAUpm.exe,1
MsMpEng.exe,1
TiWorker.exe,1
audiodg.exe,1
CodeSetup-stable-019f4d1419fbc8219a181fab7892ebccf7ee29a2.tmp,1
MoUsoCoreWorker.exe,1
SecurityHealthService.exe,1
SecurityHealthSystray.exe,1
dasHost.exe,1
rundll32.exe,1
SCNotification.exe,1
CompPkgSrv.exe,1
CodeSetup-stable-019f4d1419fbc8219a181fab7892ebccf7ee29a2.exe,1
TextInputHost.exe,1
unsecapp.exe,1
SearchFilterHost.exe,1
QAAgent.exe,1
jusched.exe,1
notepad.exe,1
RtkUWP.exe,1
QAAdminAgent.exe,1
QASvc.exe,1
ApplicationFrameHost.exe,1
ePowerButton_NB.exe,1
LockApp.exe,1
fodhelper.exe,1
OneDrive.exe,1
NisSrv.exe,1
Microsoft.Management.Services.IntuneWindowsAgent.exe,1
Microsoft.SharePoint.exe,1
Avecto.IC3.Client.Host.exe,1
smartscreen.exe,1
SystemSettings.exe,1
WUDFHost.exe,1
PhoneExperienceHost.exe,1
SearchApp.exe,1
